cvss,vuln_age_days,access_vector_enc,access_complexity_enc,access_authentication_enc,impact_confidentiality_enc,impact_integrity_enc,impact_availability_enc,cwe_group_enc,kw_remote,kw_code_exec,kw_priv_esc,kw_dos
10.0,2303,3,2,2,2,2,2,3,0,1,0,0
10.0,2303,3,2,2,2,2,2,3,0,1,0,0
10.0,2304,3,2,2,2,2,2,3,0,0,0,0
10.0,5623,3,2,2,2,2,2,3,1,0,0,0
10.0,5623,3,2,2,2,2,2,3,1,0,0,0
10.0,5623,3,2,2,2,2,2,3,1,0,0,0
10.0,5628,3,2,2,2,2,2,3,1,0,0,0
10.0,5630,3,2,2,2,2,2,3,1,0,0,1
10.0,5630,3,2,2,2,2,2,3,1,0,0,0
10.0,5642,3,2,2,2,2,2,3,1,0,0,0
10.0,5642,3,2,2,2,2,2,3,1,0,0,0
10.0,2478,3,2,2,2,2,2,3,1,1,0,0
10.0,2352,3,2,2,2,2,2,3,1,1,0,0
10.0,2309,3,2,2,2,2,2,2,1,0,0,0
10.0,3220,3,2,2,2,2,2,0,0,0,0,0
10.0,3205,3,2,2,2,2,2,3,1,0,0,0
10.0,2317,3,2,2,2,2,2,0,0,0,0,0
10.0,2319,3,2,2,2,2,2,3,1,0,0,0
10.0,2323,3,2,2,2,2,2,3,1,0,0,0
10.0,2323,3,2,2,2,2,2,3,1,0,0,0
10.0,2317,3,2,2,2,2,2,2,0,0,0,0
10.0,2317,3,2,2,2,2,2,2,0,0,0,0
10.0,2325,3,2,2,2,2,2,3,0,0,0,0
10.0,2325,3,2,2,2,2,2,0,1,0,0,0
10.0,2325,3,2,2,2,2,2,3,1,0,0,0
10.0,2320,3,2,2,2,2,2,3,0,0,0,0
10.0,2323,3,2,2,2,2,2,3,0,0,0,0
10.0,5547,3,2,2,2,2,2,3,1,0,0,1
10.0,5553,3,2,2,2,2,2,2,1,0,0,0
10.0,5559,3,2,2,2,2,2,3,1,0,0,0
10.0,5566,3,2,2,2,2,2,3,1,0,0,0
10.0,6917,3,2,2,2,2,2,2,0,0,0,0
10.0,5616,3,2,2,2,2,2,2,1,0,0,1
10.0,2323,3,2,2,2,2,2,2,1,0,0,0
10.0,2324,3,2,2,2,2,2,3,0,0,0,0
10.0,2324,3,2,2,2,2,2,3,0,0,0,0
10.0,2328,3,2,2,2,2,2,3,0,0,0,0
10.0,2317,3,2,2,2,2,2,3,0,0,0,0
10.0,2320,3,2,2,2,2,2,3,0,1,0,0
10.0,2320,3,2,2,2,2,2,3,0,1,0,0
10.0,2320,3,2,2,2,2,2,3,0,1,0,0
10.0,2320,3,2,2,2,2,2,3,0,1,0,0
10.0,2320,3,2,2,2,2,2,3,0,1,0,0
10.0,2320,3,2,2,2,2,2,3,0,1,0,0
10.0,2320,3,2,2,2,2,2,3,0,1,0,0
10.0,3129,3,2,2,2,2,2,3,1,0,0,0
10.0,5609,3,2,2,2,2,2,2,1,0,0,1
10.0,5651,3,2,2,2,2,2,2,1,0,0,0
10.0,5488,3,2,2,2,2,2,2,1,0,0,0
10.0,5735,3,2,2,2,2,2,3,1,0,0,0
10.0,5519,3,2,2,2,2,2,3,1,0,0,0
10.0,5735,3,2,2,2,2,2,2,1,0,0,0
10.0,5531,3,2,2,2,2,2,2,1,0,0,0
10.0,5543,3,2,2,2,2,2,2,1,0,0,0
10.0,5656,3,2,2,2,2,2,3,0,0,0,0
10.0,5539,3,2,2,2,2,2,2,1,0,0,1
10.0,5546,3,2,2,2,2,2,2,1,0,0,0
10.0,5489,3,2,2,2,2,2,2,1,0,0,1
10.0,3129,3,2,2,2,2,2,3,1,0,0,0
10.0,3150,3,2,2,2,2,2,3,1,0,0,0
10.0,2320,3,2,2,2,2,2,2,0,1,0,0
10.0,2332,3,2,2,2,2,2,3,0,0,0,0
10.0,2331,3,2,2,2,2,2,3,0,0,0,0
10.0,2320,3,2,2,2,2,2,2,0,1,0,0
10.0,2320,3,2,2,2,2,2,3,0,1,0,0
10.0,2320,3,2,2,2,2,2,3,0,1,0,0
10.0,2320,3,2,2,2,2,2,3,0,1,0,0
10.0,2320,3,2,2,2,2,2,3,0,1,0,0
10.0,2320,3,2,2,2,2,2,3,0,1,0,0
10.0,2339,3,2,2,2,2,2,3,0,0,0,1
10.0,5826,3,2,2,2,2,2,3,0,0,0,0
10.0,6111,3,2,2,2,2,2,2,1,0,0,1
10.0,5489,3,2,2,2,2,2,3,1,0,0,0
10.0,2330,3,2,2,2,2,2,0,1,1,0,0
10.0,2322,3,2,2,2,2,2,3,0,0,0,0
10.0,2326,3,2,2,2,2,2,3,1,1,0,0
10.0,2325,3,2,2,2,2,2,3,0,1,0,0
10.0,2330,3,2,2,2,2,2,3,0,1,0,0
10.0,2330,3,2,2,2,2,2,3,0,0,1,0
10.0,2326,3,2,2,2,2,2,2,0,1,0,0
10.0,2416,3,2,2,2,2,2,3,0,1,0,0
10.0,2416,3,2,2,2,2,2,3,0,1,0,0
10.0,2416,3,2,2,2,2,2,3,0,1,0,0
10.0,2416,3,2,2,2,2,2,3,0,1,0,0
10.0,3206,3,2,2,2,2,2,3,0,0,0,0
10.0,5497,3,2,2,2,2,2,3,1,0,0,0
10.0,8889,3,2,2,2,2,2,3,1,0,0,0
10.0,5434,3,2,2,2,2,2,3,1,0,0,0
10.0,5446,3,2,2,2,2,2,3,1,0,0,0
10.0,2416,3,2,2,2,2,2,3,0,1,0,0
10.0,2416,3,2,2,2,2,2,3,0,1,0,0
10.0,2416,3,2,2,2,2,2,3,0,1,0,0
10.0,2416,3,2,2,2,2,2,3,0,1,0,0
10.0,2416,3,2,2,2,2,2,3,0,1,0,0
10.0,2416,3,2,2,2,2,2,3,0,1,0,0
10.0,2416,3,2,2,2,2,2,3,0,1,0,0
10.0,2416,3,2,2,2,2,2,3,0,1,0,0
10.0,2416,3,2,2,2,2,2,3,0,1,0,0
10.0,3185,3,2,2,2,2,2,3,0,0,0,0
10.0,2416,3,2,2,2,2,2,3,0,1,0,0
10.0,2416,3,2,2,2,2,2,3,0,1,0,0
10.0,2240,0,-1,-1,0,0,0,3,0,0,0,0
10.0,6166,3,2,2,2,2,2,2,1,0,0,0
10.0,6533,3,2,2,2,2,2,3,1,0,0,1
10.0,5440,3,2,2,2,2,2,2,1,0,0,0
10.0,5440,3,2,2,2,2,2,2,1,0,0,0
10.0,5440,3,2,2,2,2,2,2,1,0,0,0
10.0,5440,3,2,2,2,2,2,3,1,0,0,0
10.0,5440,3,2,2,2,2,2,2,1,0,0,0
10.0,2240,0,-1,-1,0,0,0,2,0,1,0,0
10.0,2240,0,-1,-1,0,0,0,2,0,1,0,0
10.0,2240,0,-1,-1,0,0,0,3,0,1,0,0
10.0,2416,3,2,2,2,2,2,3,0,1,0,0
10.0,2416,3,2,2,2,2,2,3,0,1,0,0
10.0,2416,3,2,2,2,2,2,3,0,1,0,0
10.0,2416,3,2,2,2,2,2,3,0,1,0,0
10.0,2416,3,2,2,2,2,2,3,0,1,0,0
10.0,2416,3,2,2,2,2,2,3,0,1,0,0
10.0,2416,3,2,2,2,2,2,3,0,1,0,0
10.0,2416,3,2,2,2,2,2,3,0,1,0,0
10.0,2416,3,2,2,2,2,2,3,0,1,0,0
10.0,2416,3,2,2,2,2,2,3,0,1,0,0
10.0,3103,3,2,2,2,2,2,3,0,0,0,0
10.0,2415,3,2,2,2,2,2,3,0,1,0,0
10.0,6531,3,2,2,2,2,2,3,1,0,0,0
10.0,6616,3,2,2,2,2,2,3,0,0,0,0
10.0,6616,3,2,2,2,2,2,3,0,0,0,0
10.0,6634,3,2,2,2,2,2,2,1,0,0,0
10.0,6540,3,2,2,2,2,2,2,1,0,0,0
10.0,6656,3,2,2,2,2,2,0,1,0,0,0
10.0,6690,3,2,2,2,2,2,2,1,0,0,1
10.0,6701,3,2,2,2,2,2,3,1,0,0,0
10.0,6224,3,2,2,2,2,2,0,1,0,0,0
10.0,6224,3,2,2,2,2,2,3,0,0,0,1
10.0,6224,3,2,2,2,2,2,3,0,0,0,1
10.0,6518,3,2,2,2,2,2,2,1,0,0,0
10.0,6520,3,2,2,2,2,2,2,1,0,0,0
10.0,6533,3,2,2,2,2,2,3,1,0,0,1
10.0,2415,3,2,2,2,2,2,3,0,1,0,0
10.0,2415,3,2,2,2,2,2,3,0,1,0,0
10.0,2415,3,2,2,2,2,2,3,0,1,0,0
10.0,2415,3,2,2,2,2,2,3,0,1,0,0
10.0,2415,3,2,2,2,2,2,3,0,1,0,0
10.0,2415,3,2,2,2,2,2,2,0,1,0,0
10.0,2415,3,2,2,2,2,2,3,0,1,0,0
10.0,3192,3,2,2,2,2,2,0,0,0,0,0
10.0,2415,3,2,2,2,2,2,3,0,1,0,0
10.0,2414,3,2,2,2,2,2,3,0,1,0,0
10.0,2414,3,2,2,2,2,2,3,0,1,0,0
10.0,2414,3,2,2,2,2,2,2,0,1,0,0
10.0,2414,3,2,2,2,2,2,3,0,1,0,0
10.0,2414,3,2,2,2,2,2,3,0,1,0,0
10.0,2240,0,-1,-1,0,0,0,0,0,0,0,0
10.0,5953,3,2,2,2,2,2,3,0,0,0,0
10.0,5424,3,2,2,2,2,2,3,1,0,0,0
10.0,5424,3,2,2,2,2,2,3,1,0,0,0
10.0,5613,3,2,2,2,2,2,3,1,0,0,0
10.0,6169,3,2,2,2,2,2,0,0,0,0,0
10.0,6166,3,2,2,2,2,2,0,1,0,0,0
10.0,6190,3,2,2,2,2,2,2,1,0,0,1
10.0,6242,3,2,2,2,2,2,2,1,0,0,0
10.0,2414,3,2,2,2,2,2,3,0,1,0,0
10.0,2414,3,2,2,2,2,2,3,0,1,0,0
10.0,2414,3,2,2,2,2,2,3,0,1,0,0
10.0,2414,3,2,2,2,2,2,3,0,1,0,0
10.0,2414,3,2,2,2,2,2,3,0,1,0,0
10.0,2414,3,2,2,2,2,2,3,0,1,0,0
10.0,2414,3,2,2,2,2,2,3,0,1,0,0
10.0,2414,3,2,2,2,2,2,3,0,1,0,0
10.0,2414,3,2,2,2,2,2,3,0,1,0,0
10.0,2414,3,2,2,2,2,2,3,0,1,0,0
10.0,2241,0,-1,-1,0,0,0,3,1,1,0,0
10.0,5825,3,2,2,2,2,2,2,1,0,0,1
10.0,5825,3,2,2,2,2,2,3,1,0,0,0
10.0,5825,3,2,2,2,2,2,2,1,0,0,1
10.0,5449,3,2,2,2,2,2,3,1,0,0,0
10.0,5449,3,2,2,2,2,2,2,1,0,0,0
10.0,5431,3,2,2,2,2,2,2,1,0,0,0
10.0,5449,3,2,2,2,2,2,2,1,0,0,0
10.0,5449,3,2,2,2,2,2,3,1,0,0,0
10.0,5376,3,2,2,2,2,2,3,1,0,0,0
10.0,5424,3,2,2,2,2,2,3,1,0,0,0
10.0,5386,3,2,2,2,2,2,3,1,0,0,0
10.0,6537,3,2,2,2,2,2,0,1,0,0,0
10.0,2241,0,-1,-1,0,0,0,3,1,0,0,0
10.0,5291,3,2,2,2,2,2,3,1,0,0,0
10.0,5308,3,2,2,2,2,2,3,1,0,0,0
10.0,5319,3,2,2,2,2,2,3,1,0,0,0
10.0,6193,3,2,2,2,2,2,3,1,0,0,0
10.0,5355,3,2,2,2,2,2,3,1,0,0,0
10.0,2241,0,-1,-1,0,0,0,3,1,1,0,0
10.0,2414,3,2,2,2,2,2,3,0,1,0,0
10.0,2414,3,2,2,2,2,2,3,0,1,0,0
10.0,2414,3,2,2,2,2,2,3,0,1,0,0
10.0,2414,3,2,2,2,2,2,3,0,1,0,0
10.0,2414,3,2,2,2,2,2,3,0,1,0,0
10.0,2414,3,2,2,2,2,2,3,0,1,0,0
10.0,2414,3,2,2,2,2,2,3,0,1,0,0
10.0,2414,3,2,2,2,2,2,3,0,1,0,0
10.0,2414,3,2,2,2,2,2,3,0,1,0,0
10.0,2414,3,2,2,2,2,2,3,0,1,0,0
10.0,2414,3,2,2,2,2,2,2,0,1,0,0
10.0,2414,3,2,2,2,2,2,3,0,1,0,0
10.0,5312,3,2,2,2,2,2,3,0,0,0,0
10.0,5357,3,2,2,2,2,2,3,1,0,0,0
10.0,5357,3,2,2,2,2,2,3,1,0,0,0
10.0,5613,3,2,2,2,2,2,3,1,0,0,0
10.0,5270,3,2,2,2,2,2,0,1,0,0,1
10.0,5270,3,2,2,2,2,2,2,1,0,0,1
10.0,5270,3,2,2,2,2,2,2,1,0,0,1
10.0,5270,3,2,2,2,2,2,2,1,0,0,1
10.0,5385,3,2,2,2,2,2,3,1,0,0,1
10.0,5385,3,2,2,2,2,2,2,1,0,0,1
10.0,5385,3,2,2,2,2,2,3,1,0,0,0
10.0,5385,3,2,2,2,2,2,3,1,0,0,0
10.0,5385,3,2,2,2,2,2,2,1,0,0,0
10.0,5446,3,2,2,2,2,2,3,1,0,0,0
10.0,5531,3,2,2,2,2,2,2,1,0,0,0
10.0,2414,3,2,2,2,2,2,3,0,1,0,0
10.0,2722,3,2,2,2,2,2,3,0,1,0,0
10.0,2722,3,2,2,2,2,2,3,0,1,0,0
10.0,2722,3,2,2,2,2,2,3,0,1,0,0
10.0,2722,3,2,2,2,2,2,3,0,1,0,0
10.0,2722,3,2,2,2,2,2,3,0,1,0,0
10.0,2722,3,2,2,2,2,2,3,0,1,0,0
10.0,2733,3,2,2,2,2,2,3,0,1,0,0
10.0,2733,3,2,2,2,2,2,3,0,1,0,0
10.0,2733,3,2,2,2,2,2,3,0,1,0,0
10.0,2733,3,2,2,2,2,2,3,0,1,0,0
10.0,2733,3,2,2,2,2,2,2,0,1,0,0
10.0,2733,3,2,2,2,2,2,3,0,1,0,0
10.0,2733,3,2,2,2,2,2,2,0,1,0,0
10.0,2733,3,2,2,2,2,2,3,0,1,0,0
10.0,2733,3,2,2,2,2,2,2,0,1,0,0
10.0,5256,3,2,2,2,2,2,2,0,0,0,1
10.0,5256,3,2,2,2,2,2,2,0,0,0,1
10.0,2733,3,2,2,2,2,2,2,0,1,0,0
10.0,2733,3,2,2,2,2,2,3,0,1,0,0
10.0,2733,3,2,2,2,2,2,3,0,1,0,0
10.0,2733,3,2,2,2,2,2,3,0,1,0,0
10.0,2733,3,2,2,2,2,2,3,0,1,0,0
10.0,2733,3,2,2,2,2,2,2,0,1,0,0
10.0,2733,3,2,2,2,2,2,2,0,1,0,0
10.0,2540,3,2,2,2,2,2,3,0,1,0,0
10.0,2540,3,2,2,2,2,2,3,0,1,0,0
10.0,2540,3,2,2,2,2,2,3,0,1,0,0
10.0,2540,3,2,2,2,2,2,3,0,1,0,0
10.0,2540,3,2,2,2,2,2,3,0,1,0,0
10.0,2540,3,2,2,2,2,2,3,0,1,0,0
10.0,3170,3,2,2,2,2,2,2,1,0,0,0
10.0,5249,3,2,2,2,2,2,2,1,0,0,0
10.0,5256,3,2,2,2,2,2,2,1,0,0,1
10.0,5256,3,2,2,2,2,2,2,1,0,0,1
10.0,5256,3,2,2,2,2,2,2,1,0,0,1
10.0,2242,0,-1,-1,0,0,0,3,0,0,0,0
10.0,2540,3,2,2,2,2,2,3,0,1,0,0
10.0,2540,3,2,2,2,2,2,3,0,1,0,0
10.0,2540,3,2,2,2,2,2,3,0,1,0,0
10.0,2540,3,2,2,2,2,2,3,0,1,0,0
10.0,3177,3,2,2,2,2,2,3,1,0,0,0
10.0,3012,3,2,2,2,2,2,3,0,0,0,0
10.0,3179,3,2,2,2,2,2,3,1,0,0,0
10.0,3104,3,2,2,2,2,2,3,1,0,0,0
10.0,3172,3,2,2,2,2,2,3,0,0,0,0
10.0,2722,3,2,2,2,2,2,3,0,1,0,0
10.0,2722,3,2,2,2,2,2,3,0,1,0,0
10.0,2722,3,2,2,2,2,2,2,0,1,0,0
10.0,2722,3,2,2,2,2,2,3,0,1,0,0
10.0,2722,3,2,2,2,2,2,3,0,1,0,0
10.0,2722,3,2,2,2,2,2,3,0,1,0,0
10.0,2722,3,2,2,2,2,2,3,0,1,0,0
10.0,2722,3,2,2,2,2,2,3,0,1,0,0
10.0,2722,3,2,2,2,2,2,3,0,1,0,0
10.0,2722,3,2,2,2,2,2,3,0,1,0,0
10.0,2722,3,2,2,2,2,2,3,0,1,0,0
10.0,2722,3,2,2,2,2,2,3,0,1,0,0
10.0,3065,3,2,2,2,2,2,2,0,1,0,0
10.0,5804,3,2,2,2,2,2,3,1,0,0,1
10.0,5804,3,2,2,2,2,2,3,1,0,0,1
10.0,2331,3,2,2,2,2,2,3,0,0,0,0
10.0,3367,3,2,2,2,2,2,2,0,0,0,1
10.0,2415,3,2,2,2,2,2,3,0,1,0,0
10.0,2337,3,2,2,2,2,2,3,0,0,0,0
10.0,2337,3,2,2,2,2,2,3,1,0,0,0
10.0,2334,3,2,2,2,2,2,0,0,0,0,0
10.0,3122,3,2,2,2,2,2,3,1,1,0,0
10.0,2354,3,2,2,2,2,2,3,0,0,0,0
10.0,6482,3,2,2,2,2,2,3,1,0,0,0
10.0,3898,3,2,2,2,2,2,3,1,0,0,0
10.0,3471,3,2,2,2,2,2,3,1,0,0,1
10.0,2339,3,2,2,2,2,2,3,1,1,0,0
10.0,2340,3,2,2,2,2,2,3,0,1,0,1
10.0,2340,3,2,2,2,2,2,3,0,1,0,1
10.0,2347,3,2,2,2,2,2,1,1,0,0,0
10.0,5119,3,2,2,2,2,2,2,1,0,0,0
10.0,5129,3,2,2,2,2,2,3,1,0,0,0
10.0,5943,3,2,2,2,2,2,2,1,0,0,0
10.0,5943,3,2,2,2,2,2,2,0,0,0,0
10.0,5129,3,2,2,2,2,2,0,1,0,0,0
10.0,5141,3,2,2,2,2,2,0,1,0,0,0
10.0,5152,3,2,2,2,2,2,2,1,0,0,1
10.0,5155,3,2,2,2,2,2,2,1,0,0,0
10.0,5174,3,2,2,2,2,2,2,1,0,0,1
10.0,3095,3,2,2,2,2,2,3,1,1,0,0
10.0,2470,3,2,2,2,2,2,2,0,0,0,0
10.0,2624,3,2,2,2,2,2,3,0,0,1,0
10.0,2345,3,2,2,2,2,2,3,0,1,0,0
10.0,2345,3,2,2,2,2,2,1,0,0,0,0
10.0,2349,3,2,2,2,2,2,2,1,0,0,0
10.0,2352,3,2,2,2,2,2,2,0,0,0,0
10.0,2879,3,2,2,2,2,2,3,1,0,0,0
10.0,2242,0,-1,-1,0,0,0,3,1,0,0,0
10.0,5080,3,2,2,2,2,2,0,1,0,0,0
10.0,5080,3,2,2,2,2,2,3,1,0,0,0
10.0,5175,3,2,2,2,2,2,0,1,0,0,0
10.0,5096,3,2,2,2,2,2,3,1,0,0,0
10.0,5096,3,2,2,2,2,2,2,1,0,0,0
10.0,5104,3,2,2,2,2,2,2,1,0,0,0
10.0,6531,3,2,2,2,2,2,2,0,0,0,0
10.0,6560,3,2,2,2,2,2,3,0,0,0,1
10.0,6384,3,2,2,2,2,2,2,0,0,0,0
10.0,2360,3,2,2,2,2,2,1,1,0,0,0
10.0,2357,3,2,2,2,2,2,1,1,0,0,0
10.0,4088,3,2,2,2,2,2,3,1,0,0,0
