cvss,vuln_age_days,access_vector_enc,access_complexity_enc,access_authentication_enc,impact_confidentiality_enc,impact_integrity_enc,impact_availability_enc,cwe_group_enc,kw_remote,kw_code_exec,kw_priv_esc,kw_dos,true_label,ai_risk_score
6.8,2829,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999883642
5.5,2829,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999883642
9.3,2829,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999883642
4.3,2829,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999883642
7.5,2822,3,2,2,2,2,2,3,0,0,0,0,1,0.999999999988358
5.0,2822,3,2,2,2,2,2,3,0,0,0,0,1,0.999999999988358
4.3,2822,3,2,2,2,2,2,3,0,0,0,0,1,0.999999999988358
9.3,3754,3,2,2,2,2,2,3,0,0,0,1,1,0.9999999999883562
9.3,2815,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999883518
4.9,2815,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999883518
7.2,2815,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999883518
6.8,2815,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999883518
2.6,2815,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999883518
4.3,2815,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999883518
5.0,2815,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999883518
3.5,2815,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999883518
4.3,2815,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999883518
9.3,2815,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999883518
7.5,2815,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999883518
5.0,2815,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999883518
2.1,2815,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999883518
6.8,2815,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999883518
7.5,2815,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999883518
10.0,2815,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999883518
7.5,2794,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999883331
7.6,2788,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999883278
8.5,2760,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999883029
4.3,6450,3,2,2,2,2,2,2,0,0,0,0,1,0.9999999999882976
7.2,2706,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999882547
5.0,2674,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999882261
6.8,2664,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999882172
5.0,2664,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999882172
4.0,2642,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999881974
6.8,2630,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999881866
4.0,2621,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999881786
5.5,2619,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999881768
5.0,2592,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999881524
6.5,2579,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999881406
9.3,6270,3,2,2,2,2,2,2,0,0,0,0,1,0.9999999999881362
2.6,6270,3,2,2,2,2,2,2,0,0,0,0,1,0.9999999999881362
4.3,7671,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999881133
7.5,6238,3,2,2,2,2,2,2,0,0,0,0,1,0.9999999999881071
4.3,6195,3,2,2,2,2,2,2,0,0,0,0,1,0.9999999999880682
10.0,6184,3,2,2,2,2,2,2,0,0,0,0,1,0.9999999999880582
4.3,2474,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999880453
7.5,2429,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999880045
7.2,2424,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999879998
5.0,2414,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999879907
2.1,2414,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999879907
10.0,2404,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999879816
4.3,2395,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999879734
10.0,2390,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999879687
3.5,2374,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999879541
4.3,2368,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999879485
5.0,2361,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999879421
5.0,2361,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999879421
4.4,2360,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999879412
4.3,2352,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999879339
7.8,2352,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999879339
10.0,2337,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999879201
6.8,2331,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999879146
7.5,2330,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999879137
5.0,2324,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999879081
5.0,3251,3,2,2,2,2,2,3,0,0,0,1,1,0.9999999999879017
4.6,2288,3,2,2,2,2,2,3,0,0,0,0,1,0.999999999987875
4.0,2278,3,2,2,2,2,2,3,0,0,0,0,1,0.9999999999878657
7.5,2275,3,2,2,2,2,2,3,0,0,0,0,1,0.999999999987863
6.8,7260,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999877356
4.0,7112,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999875966
9.3,7040,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999875284
7.5,7023,3,2,2,2,2,2,3,1,0,0,0,1,0.9999999999875122
